"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Glyptemys muhlenbergii","bog turtle","Wherever found, except GA, NC, SC, TN, VA","5","Threatened","Reptiles"
"Alasmidonta heterodon","Dwarf wedgemussel","Wherever found","5","Endangered","Clams"
"Habroscelimorpha dorsalis dorsalis","Northeastern beach tiger beetle","Wherever found","5","Threatened","Insects"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Aeschynomene virginica","Sensitive joint-vetch","Wherever found","5","Threatened","Flowering Plants"
"Helonias bullata","Swamp pink","Wherever found","5","Threatened","Flowering Plants"
"Schwalbea americana","American chaffseed","Wherever found","4","Endangered","Flowering Plants"
"Amaranthus pumilus","Seabeach amaranth","Wherever found","4","Threatened","Flowering Plants"
"Rhynchospora knieskernii","Knieskern's Beaked-rush","Wherever found","5","Threatened","Flowering Plants"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
